item,itemLabel,position,positionLabel,start,psid
Q106637032,Teymur Musayev,Q106998786,Minister of Health of the Republic of Azerbaijan,2021-04-23,Q106637032-cf42654b-4e1b-0491-daf6-b421354fc42b
Q12839492,Fikrat Mammadov,Q100972230,Minister of Justice of the Republic of Azerbaijan,2000-04-19,Q12839492-a74c257a-79d0-4d73-810a-e1d22aa60a46
Q12842413,Mubariz Gurbanli,Q107981875,Chairman of the State Committee for Work with Religious Associations,2014-07-21,Q12842413-209088B7-FE84-487D-9426-A42E84D2F6D9
Q12848240,Zakir Hasanov,Q100973202,Minister of Defense,2013-10-22,Q12848240-d79d3015-4fc6-2409-29ad-4beecbf2f9dd
Q12849026,Inam Karimov,Q107722664,Minister of Agriculture,2018-04-21,Q12849026-97CAB739-D376-4689-9F33-217DC52D10FA
Q12850075,Ali Asadov,Q946064,Prime Minister of Azerbaijan,2019-10-08,Q12850075-3bdcc7ea-4f9b-4bb8-cae3-b10e916dff43
Q15090186,Mikayil Jabbarov,Q107722655,Minister of Economy,2019-10-23,Q15090186-F8F16EC9-F75B-4804-9346-09150E88D807
Q15734658,Shahin Mustafayev,Q107725196,Deputy Prime Minister,2019-10-22,Q15734658-A6D7DC67-D622-47F9-9DDB-740413C2E67E
Q16365430,Bahar Muradova,Q107981868,"Chairperson of the State Committee for Family, Women and Children Affairs",2020-03-12,Q16365430-37ECF6AC-DB54-4A41-9380-2243AF4640F0
Q16366137,Jeyhun Bayramov,Q2065366,Minister of Foreign Affairs,2020-07-16,Q16366137-1840ec35-4b58-38c3-1d79-f084492ff268
Q16367049,Elchin Guliyev,Q107709344,Chief of the State Border Service,2002-07-31,Q16367049-A5DADF00-42C2-4122-BAF5-D70E2D30C4E5
Q16374557,Safar Mehdiyev,Q107981879,Chairman of the State Customs Committee,2018-04-23,Q16374557-1DBDA640-9C2F-4962-8981-522BBA196ECF
Q16374811,Tahir Budaqov,Q107725238,Chairman of the State Statistics Committee,2015-08-13,Q16374811-F7A160F5-97B0-43E4-B2CD-C2CD46E2AAC1
Q19715508,Rovshan Rzayev,Q107725279,Chairman of the State Committee on Refugee and IDP Affairs,2018-04-21,Q19715508-AE7A6FB1-5D71-44B3-AB58-5A237D32011E
Q24698931,Vüsal Hüseynov,Q107725204,Chief of the State Migration Service,2018-04-23,Q24698931-26DAB0E0-A82B-4BE0-BAE1-5097F972DBBB
Q4073064,Ali Ahmadov,Q107725196,Deputy Prime Minister,2013-10-22,Q4073064-2FEF6BB9-9765-45F2-80E1-694FB18EEE2E
Q4134808,Kamaladdin Heydarov,Q107709290,Minister of Emergency Situations,2006-02-06,Q4134808-DA5703AC-58E5-42EF-9E86-9E1A308371B9
Q4151833,Madat Guliyev,Q107722662,Minister of Defense Industry,2019-06-20,Q4151833-ECAD437B-084F-4141-9011-6161096CFBAC
Q4520550,Samir Sharifov,Q100593128,Minister of Finance,2006-04-18,Q4520550-0bf23ca2-4280-8ac8-edd9-868b3688f294
Q4533449,Yaqub Eyyubov,Q107725193,First Deputy Prime Minister,2003-02-13,Q4533449-2647E713-1015-4F30-89CE-7C9BC0405014
Q47773089,Rashad Nabiyev,Q107722646,"Minister of Transport, Communications and High Technologies",2021-01-25,Q47773089-2C53ED68-F5C2-4F9D-A9B8-5D107156EE94
Q4802771,Arzu Rahimov,Q107709350,Chief of the State Mobilization and Conscription Service,2012-02-13,Q4802771-B2F8F86D-BECC-41ED-A350-6C76A8662AC9
Q5506881,Fuad Muradov,Q107709341,Chairman of the State Committee on Diaspora Affairs,2018-04-23,Q5506881-D1206DCB-AD20-4305-97A0-E57BE2533263
Q55199625,Parviz Shahbazov,Q107709254,Minister of Energy,2017-10-12,Q55199625-538D2B3C-3E75-4ADD-80BE-F10E828C5A3B
Q55200119,Farid Gayibov,Q106670796,Minister of Youth and Sports of Azerbaijan Republic,2021-09-07,Q55200119-ab8cb54d-443e-5040-ae1c-61bd57b0467a
Q55200630,Goshgar Tahmazli,Q107709331,Chairman of the Food Safety Agency,2017-12-25,Q55200630-B296200A-A898-4CCB-ACC4-461A330DFD38
Q55202170,Sahil Babayev,Q107722632,Minister of Labor and Social Protection of Population,2018-04-21,Q55202170-C98B5014-8071-48F6-B9FF-19F0B146E81F
Q55202229,Fuad Naghiyev,Q107709336,Chairman of the State Tourism Agency,2018-04-23,Q55202229-BD37ADA2-2166-4CE1-907F-39C5448D6208
Q64739163,Ali Naghiyev,Q101520344,Chief of the State Security Service of the Republic of Azerbaijan,2019-06-20,Q64739163-540682AE-E7F5-4573-882A-92F313CE221D
Q64752976,Vilayet Eyvazov,Q86531961,Minister of Internal Affairs,2019-06-20,Q64752976-c62d988d-46e9-6723-12e2-3623e2953261
Q65178679,Orkhan Sultanov,Q107709263,Chief of the Foreign Intelligence Service,2015-12-14,Q65178679-1BAFA306-DAFD-4901-BDAC-292783CA7CC2
Q6584988,Muxtar Babayev,Q107709268,Minister of Ecology and Natural Resources,2018-04-23,Q6584988-5E5235D7-8BBF-48D7-8E90-628ADAB22E9E
Q81409395,Anar Guliyev,Q107725289,Chairman of the State Urban Planning and Architecture Committee,2020-01-08,Q81409395-CB201FD0-158C-45DF-AD17-F06A9E259859
Q97698132,Anar Karimov,Q106975479,Minister of Culture of the Republic of Azerbaijan,2021-01-05,Q97698132-4a1703a3-426e-7a20-0f47-83967e911cea
Q97715003,Emin Amrullayev,Q107703906,Minister of Education,2020-07-27,Q97715003-B79BA48F-DD5F-4188-94DA-48013F14B0E1
